geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (17.81234927420342729 48.59293425183291504);c3f09178-f321-44c0-9e42-fc3609ca3453;2;2;4;2;1;1;3;1;1;1;1;2;2;2;1;1;1;3;2;2;1;1;1;2;1;2;1;1;1;1;0; < 50.000;1;10K-20K;2;Piestany;Municipality (city/town);0.286188516344766;3;3;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;2;2;4;1;1;1;2;1;2;1;1;1;1;1;1;3;1
Point (20.29497104806509 49.06320855542237069);ab5c313e-0db0-414c-8b74-9c6591ff4990;2;3;2;4;4;1;1;2;2;1;1;1;1;1;2;3;2;3;3;2;2;1;3;3;3;2;3;3;3;1;1;50.000 - 100.000;2;10K-20K;2;Poprad;Municipality (city/town);0.308038292640774;3;3;2;4;1;1;1;4;4;4;4;1;3;2;2;2;3;3;4;2;1;4;4;4;4;4;4;4;4;4;3;1;1;4;4;1;4;1;1;4;2;4;3;4;2;2;4;4;4;4;3;1;4
Point (-0.22058848909593498 52.37373868248320008);4a71664e-85be-4631-9c6f-c3c907a6daca;1;1;1;1;2;1;1;3;2;2;3;2;4;2;2;1;1;1;2;3;2;2;1;4;2;1;1;3;1;1;1;100.000 - 250.000;3;30K-40K;4;Huntingdonshire;District/Parish/Ward;0.309236520713083;3;3;3;1;1;1;1;1;1;1;1;1;2;2;1;1;2;3;1;2;2;2;2;2;3;3;3;2;2;3;4;1;1;1;1;1;4;4;1;1;2;2;3;3;1;1;1;2;2;3;3;1;2
Point (20.53024258399072721 49.27843344179746765);ce9d617a-1a91-43ac-b62d-4f7552637f92;1;1;2;1;1;1;1;1;2;1;1;2;1;2;1;2;3;1;1;1;1;2;1;2;1;1;1;1;2;1;0; < 50.000;1;10K-20K;2;Podolinec;Municipality (city/town);0.210096852187845;3;3;3;3;3;1;4;4;4;1;4;1;4;3;4;2;3;2;2;4;4;4;4;4;4;4;4;3;4;3;2;1;2;4;4;1;3;3;2;4;3;4;4;3;2;3;4;4;3;2;4;2;4
Point (18.57864329895451405 48.79335103235959537);de2aa451-cf32-4cf8-8c9b-f189328c11ee;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;3;2;1;4;1;1;1;2;3;1;1;1;1;4;1;0; < 50.000;1;10K-20K;2;Bojnice;Municipality (city/town);0.172773810646054;3;3;3;3;3;1;4;1;3;1;1;4;3;1;1;1;1;1;1;1;1;3;3;3;3;3;4;2;2;3;4;1;1;1;1;1;1;1;4;3;1;3;1;4;1;1;1;1;2;1;1;4;1
Point (18.24149387051960503 46.08736104717521442);f6349c53-a470-47dd-9aa1-e96599346498;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;1;3;1;1;1;1;2;1;2;1;1;100.000 - 250.000;3;< 10K;1;Pecs;Municipality (city/town);0.211564503205128;3;3;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;4;3;3;1;2;3;2;1;1;1;1;2;1;2;1;1;1;1;2;1;1;1
Point (7.67801487805906202 45.07185143882050227);7529f572-554f-4a90-80aa-8c3b1712b267;3;4;3;2;4;3;3;4;2;3;2;2;3;1;3;4;4;3;4;3;3;2;3;4;3;2;2;4;4;1;1; > 1.000.000;6;30K-40K;4;Turin metropolitan area;Metropolitan Area;0.423460872222821;3;3;2;1;1;1;1;1;1;1;1;1;4;4;4;3;4;4;2;4;4;3;3;3;3;2;2;3;3;3;4;4;4;3;1;4;3;3;3;1;4;3;4;3;3;3;3;3;3;3;3;3;3
Point (20.60931829851188013 50.86114936149245835);3f9acd9a-4e5c-40b4-928e-d79d52c206e3;3;3;1;3;3;4;4;4;2;2;2;2;3;3;3;3;4;4;3;2;4;2;4;4;1;1;2;2;4;1;1;100.000 - 250.000;3;10K-20K;2;Kielce;Municipality (city/town);0.425554630809686;3;3;3;1;1;1;1;1;1;1;4;4;3;2;2;2;3;3;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;3;3;4;3;4;3;2;1;3;1;1;1;1;2;2;3;4;4;2
Point (4.70591897515723989 50.88172859061824482);664e4f1a-963d-4630-acca-ff880fbc4952;3;2;2;1;2;4;4;4;4;3;2;3;3;1;3;2;1;2;1;3;4;3;4;4;2;1;3;3;3;4;1;100.000 - 250.000;3;30K-40K;4;Leuven;Municipality (city/town);0.455847034620472;3;3;4;1;1;1;1;1;1;4;2;3;2;2;4;2;1;3;2;2;2;2;1;1;3;1;1;3;2;1;3;2;4;2;1;3;4;4;2;2;2;1;4;2;1;4;2;1;2;4;2;1;2
Point (22.94959571508119467 40.62392621076021726);d5bcfd34-c6ef-48cd-bcd1-86756a09b40d;2;1;1;1;3;3;2;3;3;2;2;4;1;2;2;3;2;3;3;1;2;2;1;3;2;2;2;2;4;1;1;250.000 - 500.000;4;10K-20K;2;Thessaloniki;Municipality (city/town);0.34836674936583;3;3;3;1;1;1;1;1;4;3;2;3;3;2;3;4;3;3;2;1;1;2;3;1;1;1;1;1;1;1;1;4;4;2;3;3;3;1;1;2;2;1;3;1;3;4;2;2;2;2;1;1;1
Point (23.73587469597305954 37.98892368367186378);524eb348-ffd9-408e-9d2c-a9429a98dce8;2;2;1;3;2;2;1;2;4;3;3;3;2;2;2;2;2;1;1;1;3;4;3;3;2;2;4;2;1;4;1;500.000 - 1.000.000;5;30K-40K;4;Athens;Municipality (city/town);0.359919745304397;3;3;3;1;3;1;1;1;1;1;2;1;3;3;4;4;4;4;3;3;4;3;3;4;4;4;4;4;3;4;3;2;2;4;4;3;2;1;4;1;4;4;2;3;2;3;4;4;3;3;1;3;3
Point (-5.68251423402766687 43.49998195193480655);0fbf7a5e-2b84-424f-b514-f38ec9af8a66;2;3;4;1;3;2;2;2;3;3;3;4;2;4;3;4;4;4;4;1;2;2;2;4;4;4;3;4;3;4;1;250.000 - 500.000;4;20K-30K;3;Gijon;Municipality (city/town);0.442336850751373;3;3;2;1;3;3;1;1;1;1;3;3;3;2;3;1;1;1;1;3;2;1;3;4;3;3;1;1;3;2;1;4;3;2;3;3;2;3;4;2;1;2;2;1;3;3;1;1;1;1;3;2;1
Point (4.37528723708164957 50.87304901779109656);a629629c-c832-4907-ae9f-816de93b0ac7;3;2;3;2;2;3;2;2;4;3;3;3;2;3;3;4;4;3;4;3;4;3;3;4;1;1;1;2;3;4;1; > 1.000.000;6;> 50K;6;Bruxelles;Municipality (city/town);0.440112673671191;3;3;3;3;4;4;4;4;3;3;4;4;4;3;4;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Point (32.42835718949101675 34.77544475049819539);db9acbde-23e0-4dfc-927a-d2a31af0f685;1;1;2;2;1;1;1;1;1;2;3;4;1;4;1;1;1;2;1;1;1;2;1;3;1;2;1;1;1;1;0; < 50.000;1;20K-30K;3;Pafos;Municipality (city/town);0.291352485477485;3;3;3;4;3;4;4;1;4;4;3;1;3;1;2;1;3;4;3;4;1;4;2;2;4;3;2;4;3;2;4;1;1;1;1;4;1;2;4;3;2;3;4;4;1;2;2;2;4;3;3;3;3
Point (24.86003697190045258 44.85601374616293668);920c5a4f-3c5b-478f-afee-ab4737978e03;1;1;2;1;2;2;3;1;2;1;1;2;1;2;1;1;1;3;2;2;2;2;2;3;1;1;1;1;2;1;0;100.000 - 250.000;3;< 10K;1;Pitesti;Municipality (city/town);0.259164919282107;3;3;3;3;4;4;4;1;3;4;3;3;1;4;4;3;3;2;2;1;1;3;3;3;3;2;4;3;3;3;2;3;4;4;1;3;4;2;3;3;2;3;4;2;4;4;4;2;3;4;1;2;3
Point (19.852065883855321 39.63734667701362469);905ddde6-d353-4bd5-8747-1ff9ed025438;1;1;1;2;2;1;1;1;1;1;1;2;1;2;1;2;3;1;1;1;1;1;2;2;2;2;1;3;1;1;0; < 50.000;1;10K-20K;2;Central Corfu and Diapontia Islands;Municipality (city/town);0.229327388042921;3;3;3;1;1;4;1;1;4;1;3;4;3;4;4;3;3;4;3;4;4;2;2;3;2;2;2;2;2;3;3;1;3;2;3;1;4;1;4;3;4;2;1;2;1;3;2;2;3;3;2;4;2
Point (21.04792868796877059 52.22956082796060429);e601a94e-1d76-4a56-a5f3-5d435c340ee2;4;4;3;4;4;4;4;3;3;4;4;4;4;4;4;4;3;3;4;3;4;4;4;3;4;4;4;4;4;4;1; > 1.000.000;6;30K-40K;4;Warsaw;Municipality (city/town);0.610025040931291;1;1;1;2;1;1;3;3;3;3;2;3;3;1;3;2;2;2;3;1;2;3;3;2;4;3;3;2;3;3;1;1;4;4;4;3;3;3;3;2;1;3;4;1;1;4;3;2;2;2;2;2;2
Point (-3.69645817174815861 40.46528644024412813);a4db86cd-08f8-44ee-b8fd-6c85816d7572;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;3;4;1; > 1.000.000;6;30K-40K;4;Madrid;Municipality (city/town);0.652563431797868;1;1;1;4;3;3;4;1;4;3;2;1;3;3;3;3;1;4;3;3;1;2;3;3;3;1;3;3;2;1;2;2;3;4;1;3;4;2;1;3;2;2;1;2;2;2;4;1;3;3;2;1;2
Point (4.3080669722709013 51.92582673969685203);9b4a0154-5624-4c8a-a5ea-b58a599603e9;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;0; > 1.000.000;6;40K-50K;5;Rotterdam;Municipality (city/town);0.737085360921757;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;4;3;3;3;2;2;2;3;2;2;2;2;3;1;3;1;3;1;1;4;3;1;1;3;2;2;1;2;1;2;2;2;4;2;2;2
Point (23.39859743761799038 42.67824851204682801);2d1f2259-52b8-443d-a502-9297da020296;2;4;2;4;3;2;2;1;3;4;4;4;4;4;3;2;1;2;4;4;2;3;1;4;4;4;4;2;1;1;1; > 1.000.000;6;10K-20K;2;Sofia;Municipality (city/town);0.47446579067152;2;2;2;2;3;1;1;1;3;1;2;1;3;3;2;1;2;3;1;1;1;1;3;3;3;4;4;4;2;2;1;2;2;4;4;4;4;2;1;1;1;3;4;1;2;2;2;3;3;3;1;1;1
Point (4.3080669722709013 51.92582673969685203);c5939502-88b3-4d81-8549-cfc5dcf36570;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;1; > 1.000.000;6;40K-50K;5;Rotterdam;Municipality (city/town);0.734797329701435;1;1;1;2;3;3;1;1;1;1;3;4;3;3;3;2;3;3;2;4;4;1;3;1;2;2;2;2;3;3;2;2;4;3;1;3;2;2;4;2;3;2;1;1;2;3;1;2;2;1;3;4;2
Point (-7.49340601583033017 40.15394094730635999);c7e0e00b-dda1-4c98-81ba-bd7579e9f749;2;3;4;2;3;2;2;2;3;4;4;4;4;4;3;2;3;3;1;4;4;4;3;3;3;4;3;3;1;1;0; < 50.000;1;10K-20K;2;Fundao;Municipality (city/town);0.49341873359597;2;1;2;1;4;1;1;1;4;4;3;4;4;3;3;1;3;3;1;2;2;1;1;1;1;1;1;1;1;1;1;4;1;3;4;3;2;4;1;3;2;1;3;1;3;1;1;3;2;2;3;2;2
Point (26.08790095601538184 44.44108917284592053);f8ebf884-3556-477c-bbf2-f0ce295ec66f;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;1;3;2;1;1; > 1.000.000;6;20K-30K;3;Bucharest;District/Parish/Ward;0.133030753968253;3;3;3;3;4;1;4;4;1;1;3;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;3;4;4;2;3;1;4;4;1;3;2;3;3;4;4;3;3;4;3;4;4;2;4;3;4;4
Point (15.51045356081188409 38.19117162836335666);0e481775-780c-4e8b-8fa8-140a6fb9acff;3;4;4;3;3;2;3;3;2;3;3;2;3;2;3;3;4;1;3;3;1;1;1;2;4;4;3;4;3;4;1;100.000 - 250.000;3;10K-20K;2;Messina;Municipality (city/town);0.427919312169313;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;2;1;2;4;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1
Point (18.63579225407554318 54.35922745772680287);41f4cc84-6e32-4732-a5ae-3ceb1361a839;2;2;4;3;1;2;1;2;4;2;3;4;2;2;2;2;2;3;2;2;3;1;3;4;1;1;3;1;2;4;1;250.000 - 500.000;4;10K-20K;2;Gdansk;Municipality (city/town);0.367568457005957;3;3;3;1;1;3;1;1;1;3;3;1;3;1;4;3;1;3;1;4;4;1;2;2;2;2;2;2;1;2;3;4;2;4;3;4;2;1;2;2;2;1;3;2;1;2;3;1;3;1;1;2;1
Point (19.03872784701267307 49.81296242216221515);919788b9-4f62-45a1-ab18-69ba180af75e;1;1;3;1;1;1;1;1;1;1;1;2;1;2;1;1;1;2;1;1;1;1;3;1;1;1;1;2;1;1;1;100.000 - 250.000;3;10K-20K;2;Bielsko-Biala;Municipality (city/town);0.233379196035446;3;3;3;1;3;1;1;1;1;1;2;1;1;1;1;1;3;2;1;1;1;3;2;2;2;2;2;3;1;2;1;3;1;4;3;3;1;4;1;1;1;1;3;1;1;1;3;2;1;1;2;1;1
Point (26.27227985636646679 58.24559461956321371);e9a03185-30f1-455e-8d60-1edf094812a6;3;2;3;1;2;3;4;3;2;1;1;1;1;1;1;2;2;2;2;1;2;1;4;2;1;1;1;1;3;1;0; < 50.000;1;10K-20K;2;Elva;Municipality (city/town);0.303453682755153;3;3;3;2;3;3;1;1;3;1;2;3;4;4;4;4;2;4;2;3;2;1;2;3;3;3;4;3;3;2;3;3;1;1;1;1;1;4;1;2;3;2;1;3;3;2;2;1;3;1;3;1;2
Point (3.04742043585872091 50.63174165360616286);e59056bc-4047-40e6-86f9-f1aeb5cf6c47;2;3;3;3;3;2;2;1;3;4;3;3;4;3;4;4;4;2;3;4;3;2;4;4;3;4;4;2;3;4;1; > 1.000.000;6;30K-40K;4;Lille metropolitan area;Metropolitan Area;0.458854604132025;2;4;2;4;3;4;4;4;1;4;4;4;1;2;2;4;4;4;2;4;4;2;3;3;3;3;1;1;2;3;3;3;3;3;1;1;2;2;3;4;3;2;1;3;2;2;4;4;3;2;4;4;3
Point (-1.19910471150108644 38.12321351929717395);01b81c6a-072a-4ced-8120-790393bd30fc;3;4;4;3;4;2;4;1;1;1;1;1;2;1;3;2;2;2;2;2;4;3;4;4;3;3;1;4;2;1;1;50.000 - 100.000;2;20K-30K;3;Molina de Segura;Municipality (city/town);0.35243006769125;3;3;2;2;1;1;1;1;3;1;2;3;3;2;1;2;1;2;3;1;1;4;4;1;1;2;4;1;2;3;1;4;1;1;1;1;4;3;1;1;1;2;2;1;4;1;1;1;2;4;2;1;1
Point (8.92992014698703329 45.45992453589981608);7d6fb74a-8ceb-44c7-b3ee-da7007fc2da7;2;2;4;1;2;2;3;1;4;2;2;2;1;3;2;2;3;2;2;1;1;1;1;4;2;3;1;3;2;1;0; > 1.000.000;6;> 50K;6;Milano metropolitan area;Metropolitan Area;0.353932020202701;3;3;3;1;3;4;1;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;2;3;4;3;1;4;3;4;1;3;4;4;3;3;4;4;4;3;4;3;4;3;4
Point (21.27729672847233999 46.17338127142244986);2b8bc007-4cd5-4ebf-aed3-28cf18485fda;1;2;3;2;3;1;1;2;1;1;2;2;1;3;1;1;1;2;2;1;1;1;2;1;2;3;1;2;1;1;1;100.000 - 250.000;3;10K-20K;2;Arad;Municipality (city/town);0.287221402247444;3;3;3;1;1;1;1;1;1;1;1;1;4;4;4;4;1;4;3;3;4;2;1;3;3;1;1;3;1;1;1;1;4;4;1;1;4;1;1;1;3;1;1;1;1;3;4;1;2;3;1;2;2
Point (17.10617673007502049 48.11597231166937405);17a782be-c6e4-4e47-a3d4-1c1616450268;2;2;1;4;3;2;3;1;4;4;3;3;2;4;4;3;3;2;4;4;4;4;4;4;4;3;4;4;4;1;1;250.000 - 500.000;4;30K-40K;4;Bratislava;Municipality (city/town);0.45553460265225;2;4;3;4;4;1;1;1;1;4;4;1;1;1;1;4;4;4;4;1;4;4;4;4;3;3;3;2;4;3;4;4;3;1;1;1;2;4;1;3;3;4;3;3;4;2;3;3;3;4;4;3;3
Point (-2.2321483899363348 53.45108330705638622);a78f9ac9-037b-472d-935c-d8833d8173a3;1;1;1;4;1;1;1;3;1;2;2;3;2;2;2;1;2;2;2;2;2;2;3;2;2;1;4;2;1;1;1; > 1.000.000;6;> 50K;6;Manchester metropolitan area;Metropolitan Area;0.283724208559686;3;3;3;4;1;4;4;4;1;4;3;3;4;3;4;4;4;2;4;4;4;3;3;2;3;2;2;2;1;2;2;3;4;4;4;1;4;2;3;4;4;2;4;3;2;4;4;4;1;4;2;3;4
Point (18.24639225678189547 49.8141202302696513);db2e1166-1ff4-4420-95a8-ae2fa54cb732;2;1;1;1;1;4;3;4;3;1;1;1;2;1;1;3;3;3;3;1;3;3;4;4;1;1;1;1;4;1;1;250.000 - 500.000;4;10K-20K;2;Ostrava;Municipality (city/town);0.300815614351154;3;3;4;1;4;1;1;1;1;1;1;1;3;2;1;2;3;2;3;1;3;2;2;2;3;3;3;2;2;3;1;3;4;3;4;3;2;1;3;3;2;2;2;1;4;2;2;3;1;2;1;2;2
Point (21.99237339993597118 50.02278576390343545);6e7300e7-b1df-4977-ac6a-2a4caba06a55;4;4;4;3;4;4;4;2;3;4;4;4;4;2;4;3;4;4;3;4;4;3;4;3;3;3;2;4;4;1;1;100.000 - 250.000;3;10K-20K;2;Rzeszow;Municipality (city/town);0.565952154599213;1;4;1;3;3;1;1;1;3;1;2;1;4;4;4;1;1;3;2;3;2;3;1;3;1;2;1;3;3;2;3;2;3;3;1;4;2;3;1;2;2;2;1;3;2;3;1;1;2;2;2;1;2
Point (15.00581521774553018 44.21320160641649721);aa852461-ba31-48df-a4dd-f0ef7a6bc6f1;1;1;2;1;1;2;3;1;2;1;2;4;1;2;1;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;0;50.000 - 100.000;2;10K-20K;2;Zadar;Municipality (city/town);0.278784179770393;3;3;3;1;1;1;1;1;1;1;3;1;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;2;3;3;1;1;4;1;3;3;1;4;4;2;3;4;4;4;4;4;4;4;3;4
Point (3.27795234681146042 49.84709796157353878);bed56153-e6a1-4cf5-8a97-f0b9c5ab159f;3;3;1;4;3;2;2;4;2;2;1;1;1;3;2;3;2;4;3;2;1;1;1;2;3;4;3;4;1;1;1;50.000 - 100.000;2;20K-30K;3;Saint-Quentin;Municipality (city/town);0.371875502017046;3;3;2;2;3;3;3;3;3;3;4;4;4;3;3;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;3;3;3;3;4;3;3;3;3;3;3;4;3;4;3;3;4;4;3;4;4;3;4
Point (14.31648559107025775 48.28449013715426474);893045de-562c-4d07-9077-63ae24cf152d;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;3;4;4;4;1;1;100.000 - 250.000;3;> 50K;6;Linz;Municipality (city/town);0.638744543344728;1;1;1;3;1;1;1;4;3;1;4;1;1;4;1;3;3;4;4;4;1;4;4;3;4;4;3;4;4;3;2;1;1;4;1;1;4;3;1;3;3;4;2;2;2;1;4;4;3;4;4;1;3
Point (6.11820220286603522 52.5184846938746972);59cdda77-cb9d-4d82-9278-41b29a3a519d;3;3;3;4;1;2;4;1;2;4;4;4;3;4;3;3;4;4;3;3;3;3;4;1;3;3;4;2;3;1;1;100.000 - 250.000;3;40K-50K;5;Zwolle;Municipality (city/town);0.487698906791737;2;2;2;1;1;1;1;1;1;1;2;1;3;1;1;1;3;2;1;4;1;1;3;2;3;3;2;2;4;2;1;1;1;4;4;1;1;4;1;1;2;2;1;1;1;1;2;4;1;1;4;1;1
Point (4.98456490271003183 51.16615388740603265);2de51aa7-bddf-4f99-bcd9-d5583d390452;2;2;3;1;3;2;2;3;2;3;2;2;3;3;3;1;1;1;3;4;3;3;3;2;3;1;3;3;3;1;0; < 50.000;1;40K-50K;5;Geel;Municipality (city/town);0.39374905476468;3;3;3;2;3;1;1;1;1;1;2;3;1;2;1;1;1;1;1;2;2;2;3;3;1;1;1;3;2;3;1;2;1;1;1;1;4;3;4;2;1;2;2;1;1;1;1;1;1;3;2;3;1
Point (-0.51642106464780302 38.6822112076147917);c77b073d-ade9-4a99-87b9-befcb8be3750;3;4;4;2;3;3;2;2;4;3;3;3;2;3;3;2;2;2;2;3;2;1;3;4;3;4;4;2;2;1;1;50.000 - 100.000;2;10K-20K;2;Alcoi;Municipality (city/town);0.434301590617307;3;3;2;4;3;3;4;1;1;4;4;1;3;3;3;4;3;3;4;3;2;1;3;1;3;3;3;3;1;3;3;2;3;3;3;3;4;3;3;3;3;2;2;3;1;2;3;3;2;4;2;2;2
Point (-2.45428568556574511 42.4638174475072816);e2e4f74a-07f8-4eaf-a23c-faa115e13825;1;2;1;2;3;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;4;2;2;2;3;1;1;1;100.000 - 250.000;3;20K-30K;3;Logrono;Municipality (city/town);0.248951810291424;3;3;3;2;4;3;3;4;4;3;3;4;3;3;3;2;4;3;2;4;4;1;4;4;3;4;4;4;3;3;1;2;4;3;3;3;4;3;3;3;3;4;3;1;3;4;2;4;3;3;3;4;3
Point (16.69543279688152282 53.70419913709945803);12bb1b41-74fe-402b-8df8-a4038a3f8498;2;1;1;2;2;2;2;2;4;2;3;3;4;2;1;1;1;2;1;1;2;1;4;1;2;2;2;2;1;1;1;250.000 - 500.000;4;10K-20K;2;Szczecin;Municipality (city/town);0.353561569217819;3;3;3;4;3;1;4;1;3;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;2;2;4;2;2;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;4;3;4;3;3;4
Point (2.00822859799841735 41.57508376730206123);56cf4863-9711-4640-bf99-31ebf0ef5f42;4;3;4;2;3;4;4;3;4;3;3;2;2;4;3;3;3;3;4;2;2;2;2;4;4;4;2;4;3;1;1;100.000 - 250.000;3;30K-40K;4;Terrassa (Barcelona);Municipality (city/town);0.459439655014104;4;3;4;4;1;1;1;1;4;1;3;4;3;2;1;1;2;2;1;1;1;4;3;2;2;2;2;2;2;3;3;2;2;1;1;1;1;4;1;3;1;2;1;4;1;1;1;1;2;1;3;2;1
Point (21.66559280473545712 47.53044040507126766);793dfa04-61ac-4579-8c8c-2dc0b40221fd;2;1;1;1;2;2;1;4;2;1;1;1;1;2;2;1;1;2;1;1;3;2;4;3;2;3;1;2;3;1;1;100.000 - 250.000;3;< 10K;1;Debrecen;Municipality (city/town);0.281014750585063;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;3;3;2;3;2;2;2;1;2;3;3;1;4;1;1;1;1;2;1;1;2;1;2;2;1;2;1;1;1;1;1;1
Point (13.99554127616668531 50.10323781837563217);4adbe44d-5589-4126-9c62-ee9214ba6668;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;1;1;2;2;2;2;3;1;1;1;3;1;1;0;50.000 - 100.000;2;10K-20K;2;Zilina;Municipality (city/town);0.218904970642103;3;3;3;3;1;4;4;1;4;1;3;4;3;2;3;4;3;4;2;4;3;3;3;2;3;2;2;2;1;3;4;2;3;4;1;1;1;3;3;3;3;2;3;4;1;4;4;2;3;1;3;3;3
Point (24.66794887696963912 60.24110855728778802);69d667cc-b05d-46a7-b7c4-e8bd814b97d6;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;1;4;4;4;4;4;4;4;4;3;4;4;4;1;0;250.000 - 500.000;4;> 50K;6;Espoo;Municipality (city/town);0.671629128491108;1;1;1;2;1;3;1;1;3;1;2;3;1;2;2;1;1;3;3;2;2;1;2;2;2;2;2;2;1;2;3;2;1;1;1;1;1;2;4;2;1;1;1;1;1;1;1;1;2;1;2;4;1
Point (16.58859777028199289 49.20678980207693343);bd64a9aa-0350-48ae-9fdf-037380039b79;4;3;3;4;2;4;3;4;4;3;3;3;3;3;3;4;4;4;4;1;4;3;3;4;2;2;4;1;4;4;1;250.000 - 500.000;4;10K-20K;2;Brno;Municipality (city/town);0.518951061692484;4;3;1;3;1;1;1;1;1;1;2;1;3;2;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;2;3;4;3;3;3;3;4;3;1;3;4;4;2;2;4;4;3;3;3;4;3;4
Point (5.35165198714898516 51.71671147359603538);72fc0127-675a-4976-993c-f9a43c659bae;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;3;2;3;4;3;4;4;4;4;4;3;4;3;4;1;0;100.000 - 250.000;3;40K-50K;5;s-Hertogenbosch;Municipality (city/town);0.627580575237898;1;1;1;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;3;3;2;3;2;2;3;3;3;2;3;2;3;3;3;4;4;3;3;3;4;3;2;4;2;4;4;4;4;4;3;4;3;4
Point (3.13321985286271598 50.93706043781816817);86577e85-4954-4ea8-81ac-e4e9eef5f511;1;1;1;2;1;2;2;3;2;3;3;4;3;2;3;2;1;2;3;3;4;4;4;4;2;2;4;1;4;1;0;50.000 - 100.000;2;40K-50K;5;Roeselare;Municipality (city/town);0.400465977695144;3;3;3;1;1;1;1;1;1;1;1;1;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;1;2;1;4;1;1;1;4;4;1;3;2;4;1;1;1;4;2;2;1;3;4;2
Point (4.3080669722709013 51.92582673969685203);d8d78754-d851-499d-af44-a64d4b47ae6b;3;3;2;4;2;3;4;3;2;4;4;4;3;4;4;4;4;4;4;3;2;4;2;1;4;4;4;2;3;4;0; > 1.000.000;6;40K-50K;5;Rotterdam;Municipality (city/town);0.510273789635156;2;1;3;3;3;4;4;4;4;3;3;3;1;2;2;2;3;3;2;2;2;2;3;3;3;3;3;3;2;3;1;2;4;3;3;3;2;1;3;4;2;3;1;1;1;4;2;3;3;2;1;2;2
