geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (26.54135488604755722 55.89066294369900589);2fa5caaf-9b66-41b7-8aa5-e4a1e54f0164;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;3;1;1;1;1;3;1;0;50.000 - 100.000;2;< 10K;1;Daugavpils;Municipality (city/town);0.147199694113757;3;3;3;1;4;1;1;1;1;1;4;1;4;4;1;1;1;1;1;3;4;1;1;1;1;1;1;1;1;1;4;2;1;1;1;1;1;3;1;3;1;1;1;3;4;1;1;1;1;1;4;2;1
Point (14.51290819869769066 35.89848679601935544);40ce4118-fbd0-44ce-bd2f-a7059c877956;2;2;2;3;2;2;3;3;1;2;2;2;4;2;2;2;3;2;1;4;2;1;3;1;1;1;2;2;2;1;1;100.000 - 250.000;3;20K-30K;3;Valletta;Municipality (city/town);0.359519644639129;3;3;3;3;3;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;4;2;1;1;1;4;4;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;1
Point (-6.26196529585802697 53.34920964215710626);d68a68ba-29e5-4079-a1bb-5720af0471bb;2;1;1;4;2;3;3;4;2;4;4;4;4;3;4;4;3;4;1;4;4;3;4;4;2;1;4;1;4;4;1;500.000 - 1.000.000;5;> 50K;6;Dublin;Municipality (city/town);0.47152184010502;2;1;3;1;3;1;1;1;3;1;2;1;1;2;2;2;1;2;1;2;1;3;2;3;1;2;4;1;3;2;3;4;2;2;1;3;2;3;1;1;1;2;1;2;2;2;1;1;2;1;2;1;1
Point (-18.22474049597180112 65.68098311459151262);1b1e0e7f-07db-438e-b864-e6531dc3dd0a;3;4;2;4;4;3;3;3;2;2;2;2;3;2;2;3;3;2;3;3;1;1;1;3;2;2;2;2;2;1;0; < 50.000;1;> 50K;6;Akureyri;Municipality (city/town);0.404854585008538;3;3;2;4;4;1;1;4;4;1;3;4;4;4;4;4;4;1;4;3;4;3;3;2;3;4;2;2;3;4;2;4;3;1;4;1;3;4;1;4;4;3;4;4;4;3;3;4;1;3;4;3;4
Point (14.33414016101911059 46.25489901517168789);854f4ea4-92b8-4593-aef2-309c12761b30;2;3;2;4;3;2;1;2;2;3;3;3;2;3;2;3;3;4;4;2;1;2;2;2;4;4;4;3;2;1;0;50.000 - 100.000;2;10K-20K;2;Kranj;Municipality (city/town);0.404725450243067;3;3;2;1;1;1;1;1;1;1;1;1;3;3;4;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;3;3;3;1;4;4;4;2;3;4;4;4;4;3;3;3;4
Point (33.0200748124480512 34.69216096266554672);6b776861-3a4f-42bd-971e-f14aa6edeaff;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;100.000 - 250.000;3;20K-30K;3;Limassol;Municipality (city/town);0.123218005952381;3;3;3;1;4;1;1;1;1;1;4;4;4;2;2;2;3;3;2;2;2;1;2;2;2;3;2;2;3;3;1;4;1;1;1;1;1;4;4;4;2;2;3;1;4;1;1;2;1;1;4;4;2
Point (21.03577730338191998 56.54069879417317424);2d38c845-bfcb-4164-a035-c588aeba8c4f;2;2;4;1;2;2;3;2;3;2;3;4;1;2;2;1;1;1;1;1;4;4;4;1;2;2;1;2;2;1;1;50.000 - 100.000;2;10K-20K;2;Liepaja;Municipality (city/town);0.382309185027935;3;3;3;2;1;1;4;3;3;1;3;3;4;4;3;4;4;4;3;4;4;3;3;4;3;4;4;3;4;2;1;4;1;1;3;4;1;3;1;2;4;3;2;2;4;2;3;3;4;2;3;2;3
Point (5.9785472099080712 49.49347403574191162);00579472-57a5-446e-bd65-a99d23512435;2;2;3;2;1;2;1;3;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;3;1;2;1;1;1;1;0; < 50.000;1;> 50K;6;Esch-sur-Alzette;Municipality (city/town);0.245082311592729;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;4;1;1;1;3;1;2;1;1;1;1;1;2;2;1
Point (5.07498833744798272 52.09115451950582809);343566f0-831e-4f72-b236-1ab4ca81aee2;4;4;1;4;4;3;3;3;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;1;250.000 - 500.000;4;> 50K;6;Utrecht;Municipality (city/town);0.553264707140626;1;4;2;1;1;1;1;1;3;1;2;1;4;4;4;4;4;3;4;4;4;2;1;3;1;1;3;3;1;1;2;2;4;4;1;4;4;2;1;1;4;1;4;3;2;4;4;2;3;3;2;2;3
Point (15.76353940367242146 50.03015242345346536);f618b79b-1460-45bf-b531-c919fbb89c6e;2;2;2;4;1;2;2;2;3;3;4;4;2;4;3;3;4;2;3;4;3;3;3;4;2;3;3;1;3;1;0;50.000 - 100.000;2;10K-20K;2;Pardubice;Municipality (city/town);0.435215893821593;3;2;3;3;3;4;4;4;4;4;4;3;3;3;2;2;3;3;2;3;2;2;3;3;3;3;3;3;2;3;1;2;3;3;3;4;4;2;3;4;2;3;2;2;2;2;2;3;4;3;3;2;3
